"year","gdp","gdp_fy","gdp_wages","cpiu","cpiu_irs","ccpiu_irs","awi","tsy_10y","rev","rev_iit","rev_payroll","rev_corp","rev_excise","rev_estate","rev_customs","rev_misc","outlays","outlays_disc","outlays_mand","outlays_mand_oasdi","outlays_mand_health","outlays_mand_other","outlays_ni","unmarried_0","unmarried_1","unmarried_2","unmarried_3","unmarried_4","unmarried_5","unmarried_6","unmarried_7","unmarried_8","unmarried_9","unmarried_10","unmarried_11","unmarried_12","unmarried_13","unmarried_14","unmarried_15","unmarried_16","unmarried_17","unmarried_18","unmarried_19","unmarried_20","unmarried_21","unmarried_22","unmarried_23","unmarried_24","unmarried_25","unmarried_26","unmarried_27","unmarried_28","unmarried_29","unmarried_30","unmarried_31","unmarried_32","unmarried_33","unmarried_34","unmarried_35","unmarried_36","unmarried_37","unmarried_38","unmarried_39","unmarried_40","unmarried_41","unmarried_42","unmarried_43","unmarried_44","unmarried_45","unmarried_46","unmarried_47","unmarried_48","unmarried_49","unmarried_50","unmarried_51","unmarried_52","unmarried_53","unmarried_54","unmarried_55","unmarried_56","unmarried_57","unmarried_58","unmarried_59","unmarried_60","unmarried_61","unmarried_62","unmarried_63","unmarried_64","unmarried_65","unmarried_66","unmarried_67","unmarried_68","unmarried_69","unmarried_70","unmarried_71","unmarried_72","unmarried_73","unmarried_74","unmarried_75","unmarried_76","unmarried_77","unmarried_78","unmarried_79","unmarried_80","unmarried_81","unmarried_82","unmarried_83","unmarried_84","unmarried_85","unmarried_86","unmarried_87","unmarried_88","unmarried_89","unmarried_90","unmarried_91","unmarried_92","unmarried_93","unmarried_94","unmarried_95","unmarried_96","unmarried_97","unmarried_98","unmarried_99","unmarried_100","married_0","married_1","married_2","married_3","married_4","married_5","married_6","married_7","married_8","married_9","married_10","married_11","married_12","married_13","married_14","married_15","married_16","married_17","married_18","married_19","married_20","married_21","married_22","married_23","married_24","married_25","married_26","married_27","married_28","married_29","married_30","married_31","married_32","married_33","married_34","married_35","married_36","married_37","married_38","married_39","married_40","married_41","married_42","married_43","married_44","married_45","married_46","married_47","married_48","married_49","married_50","married_51","married_52","married_53","married_54","married_55","married_56","married_57","married_58","married_59","married_60","married_61","married_62","married_63","married_64","married_65","married_66","married_67","married_68","married_69","married_70","married_71","married_72","married_73","married_74","married_75","married_76","married_77","married_78","married_79","married_80","married_81","married_82","married_83","married_84","married_85","married_86","married_87","married_88","married_89","married_90","married_91","married_92","married_93","married_94","married_95","married_96","married_97","married_98","married_99","married_100"
2011,15599.725,15466.525,6626.175,0.701529217856194,0.699682637818124,,0.595324501629557,2.785833333,2303.466,1091.473,818.792,181.085,72.381,7.399,29.519,102.817,3603.065,1347.137,2025.966,724.923,763.54,537.503,229.962,4017988,4178877,4329042,4417737,4378923,4272056,4268842,4252071,4205579,4226457,4257699,4254143,4267792,4185846,4196587,4228990,4261622,4315542,4374307,4363238,4350513,4150741,3908316,3656377,3397621,3181630,2911572,2683817,2549061,2356833,2191904,1989530,1784421,1686494,1564674,1501348,1457675,1401192,1432705,1472124,1530153,1449352,1411094,1396342,1420967,1480037,1552350,1568660,1581804,1566764,1587227,1536098,1504661,1504682,1453597,1411704,1375109,1310809,1282733,1217110,1171841,1131548,1112899,1153413,1033072,857552,871423,894298,873650,778034,751306,715432,723759,693605,670712,669261,647754,623062,647135,635340,663357,630617,635998,622310,591000,571256,552346,511413,466219,417737,354904,291144,239655,191207,150464,117561,90297,66145,46731,31878,58436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5275,7104,14635,35311,73712,129475,259807,356819,492302,679086,903316,1157992,1382525,1600084,1840054,2005361,2176452,2294930,2336225,2431859,2423511,2463220,2515778,2520963,2667301,2816664,2983784,2858364,2798129,2771600,2813178,2909728,3026346,3043465,3073471,3063293,3124147,3039636,2994551,3012387,2927699,2858828,2799604,2685902,2649822,2535806,2460595,2388391,2352061,2428648,2156031,1763462,1765102,1779222,1703707,1479227,1387767,1278182,1245718,1143254,1052049,994414,904733,814474,781144,704201,668709,575876,526510,466564,401125,350030,295376,238988,191127,150661,112559,81121,58779,41373,28560,19478,13215,8435,5206,3095,3930
2012,16253.95,16109.425,6928.15,0.716073258173313,0.717665744304451,0.740919361810785,0.613913809458478,1.8025,2449.99,1132.206,845.314,242.289,79.061,13.973,30.307,106.84,3526.563,1275.705,2030.45,767.714,725.784,536.952,220.408,3972529,4031771,4185243,4338216,4423621,4384588,4281147,4276103,4260756,4216476,4238468,4275740,4263673,4278119,4194147,4211692,4239693,4263681,4303628,4349134,4284360,4298131,4062645,3776495,3491540,3224467,3016679,2762916,2561080,2444737,2256025,2095160,1913599,1737425,1656009,1539123,1475798,1435981,1383958,1420459,1468584,1533640,1457277,1420280,1404823,1429421,1486993,1555306,1567319,1579564,1569931,1594758,1547259,1518468,1518557,1468436,1425997,1388765,1321991,1292266,1225926,1179577,1141007,1123451,1163060,1040567,859917,871600,894688,874878,781074,755075,719074,725541,691951,665909,661590,639818,616416,640937,628762,653678,617071,616291,596684,559418,543161,516516,470081,420803,369823,307871,247173,198952,155090,119139,90846,68094,48694,33621,60523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5126,6873,14937,34647,69889,122514,235311,339642,473591,655355,874131,1109732,1356587,1562285,1752938,1972357,2124126,2291374,2377173,2387958,2460773,2441627,2481351,2530318,2531256,2671951,2815880,2974573,2846166,2784179,2757208,2796967,2893137,3013961,3034991,3064202,3050592,3100926,3014556,2969113,2983771,2898241,2826986,2769829,2657888,2621745,2508101,2427979,2355991,2318465,2390388,2123021,1731841,1729265,1739584,1659858,1435282,1339548,1229209,1194140,1092435,1004982,946804,855767,763044,723795,644879,605808,516578,468495,411612,351283,294252,245467,196010,154387,119596,87629,61835,43820,30129,20280,13486,8919,5555,3342,4160
2013,16880.675,16687.775,7114.025,0.726570688527771,0.729835266317011,0.753943730409016,0.621760445966537,2.350833333,2775.106,1316.405,947.82,273.506,84.007,18.912,31.815,102.641,3454.881,1202.362,2031.634,807.841,767.633,456.16,220.885,3974387,3984252,4050268,4193190,4348463,4430404,4391178,4289307,4282811,4269394,4227147,4249792,4292851,4271242,4279551,4202193,4215719,4233474,4245639,4269815,4266935,4223756,4192725,3911138,3599497,3309286,3057606,2865594,2635077,2451313,2334111,2142790,2003588,1845205,1691588,1616998,1501365,1444342,1413156,1370724,1415194,1472686,1541527,1466557,1428483,1412713,1437114,1491360,1559363,1571970,1591038,1587412,1611853,1561807,1528799,1524867,1472797,1427500,1388643,1322272,1296816,1232807,1187308,1151384,1133814,1172069,1048482,865493,876863,901189,881397,786258,758573,722180,728380,694076,669465,666041,644752,618723,638682,620804,639031,595980,589619,565026,533212,508666,475565,424835,373206,321470,262193,205913,162170,123021,92166,68572,50165,35061,63180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,7146,16219,36484,70910,121431,225425,319635,466251,646434,856154,1077548,1298104,1527441,1706713,1877863,2095103,2243452,2393583,2448401,2439161,2502888,2480606,2513261,2553199,2544036,2674933,2811451,2964021,2834934,2773037,2744912,2782739,2879817,3000548,3020231,3040618,3022686,3067089,2985074,2946029,2961308,2877598,2806248,2752122,2638855,2596485,2480037,2392975,2320061,2282228,2349674,2086846,1694168,1685370,1690808,1607928,1386761,1289305,1178476,1139086,1035380,946835,884270,791170,699895,659592,584276,545454,462812,415757,361471,295405,244826,201384,158637,122808,93506,67117,46233,31617,21494,14132,9160,5908,3589,4468
2014,17608.125,17428.1,7476.325,0.738308171262294,0.7413696402017,0.76485471267602,0.6438305915057,2.540833333,3021.491,1394.568,1023.458,320.731,93.368,19.3,33.926,136.14,3506.284,1178.867,2098.461,844.876,830.96,422.625,228.956,3958371,3987637,4000833,4070747,4202824,4360472,4439248,4398904,4299232,4292122,4281008,4240934,4264350,4312433,4274933,4287107,4205338,4211266,4217297,4217888,4199027,4210166,4127313,4041779,3732829,3422211,3145048,2908758,2730540,2511707,2323652,2196820,2022694,1914710,1781558,1645826,1579595,1476987,1430937,1406993,1367115,1415296,1473994,1541881,1469598,1435263,1424122,1447512,1501410,1568667,1584066,1600699,1596114,1611169,1557700,1526232,1519844,1470172,1421838,1384659,1321717,1294932,1233313,1186253,1151615,1137441,1175333,1055267,868970,880691,903245,881743,785981,757809,721535,728173,694504,670661,667079,643108,613517,628771,605322,616022,570341,558223,538345,499388,468187,429654,377454,324034,273437,218139,167742,127792,94849,69310,50304,35931,65541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5722,7556,17073,37572,71391,120102,215540,308132,442611,641130,849063,1060206,1265660,1471606,1685725,1850574,2024796,2248993,2374031,2497165,2518717,2494082,2547191,2510082,2530947,2563059,2550457,2675411,2812250,2962969,2831438,2764561,2730199,2766690,2861324,2981981,2997726,3018317,3002974,3050210,2973014,2934186,2948322,2862039,2790634,2736096,2618478,2575344,2455881,2364092,2291216,2249357,2311474,2048277,1655692,1639931,1643158,1558694,1340383,1239969,1128011,1083457,976580,887429,821482,729642,640933,599675,527973,490243,410815,365219,304294,245812,200992,163175,125691,96394,71657,50075,33100,23012,14963,9565,6042,3805,4774
2015,18295,18164.25,7859.5,0.739202537348556,0.744716291521772,0.765726873895338,0.666229705988827,2.135833333,3249.89,1540.802,1065.257,343.797,98.279,19.232,35.041,147.482,3691.85,1172.141,2296.528,881.891,936.52,478.117,223.181,4027892,3974430,4006963,4021025,4094796,4216644,4377505,4453070,4412068,4316359,4309872,4302123,4265593,4289631,4338181,4296009,4300434,4212663,4210474,4204913,4174451,4168599,4141170,4012292,3885827,3573338,3276235,3004699,2780878,2607263,2381673,2188703,2079563,1935683,1861713,1744530,1622749,1567873,1474173,1430922,1406714,1369269,1415909,1474045,1539219,1467404,1432336,1418992,1442369,1499659,1573596,1591828,1609237,1599895,1615104,1564138,1532272,1530779,1477995,1428685,1392317,1326996,1301626,1237543,1190784,1156854,1142912,1182369,1062602,875743,887396,912826,891006,791845,759108,719218,721059,685386,661225,656874,631763,599636,609729,583324,589966,540373,533226,505580,460867,424868,383140,328500,276785,228532,178574,133090,99738,72276,51612,36639,68982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200,6628,17785,38133,71406,119680,205102,291382,424479,608701,846162,1058373,1258741,1456068,1651640,1861539,2028240,2203532,2404692,2489898,2582598,2579776,2543505,2582786,2534766,2551347,2582468,2565769,2688779,2826027,2974971,2841961,2773887,2739717,2773688,2861238,2973362,2984229,3001189,2991569,3031061,2952265,2915249,2920470,2836920,2763322,2709084,2592669,2545774,2427991,2329422,2257035,2214387,2268157,2007852,1613200,1590745,1586615,1498764,1285992,1186452,1076948,1032336,925116,836509,767848,675706,588628,546949,476602,436836,362596,308584,254396,203145,163401,129945,99444,74042,53656,36264,24437,16024,10208,6378,3937,5154
2016,18804.9,18641.325,8091.225,0.748570898746687,0.750693184820822,0.770068330094749,0.673758177585608,1.841666667,3267.965,1546.075,1115.065,299.571,95.026,21.354,34.838,156.036,3852.615,1185.255,2427.327,910.282,1012.58,504.465,240.033,4034328,4043100,3995228,4028681,4043334,4120703,4232165,4394928,4466895,4425908,4334077,4327892,4323544,4289367,4308584,4366467,4304746,4300940,4205863,4194154,4162700,4141702,4097889,4022651,3858788,3718103,3414539,3124311,2861514,2644558,2466066,2241732,2072879,1991062,1882507,1825103,1711718,1600907,1548606,1455227,1414968,1393153,1359236,1404044,1459522,1523282,1449712,1418677,1409383,1439173,1505095,1583443,1604363,1616533,1606807,1617017,1568269,1540868,1535246,1482882,1434432,1399581,1334871,1306721,1243550,1190373,1158708,1145965,1188406,1071250,882191,894327,919022,893667,791552,758013,713699,717351,678067,653419,645901,615339,580217,587487,557287,558939,516363,499335,466244,417263,376968,332565,279679,229797,185715,140929,103087,75405,53350,37245,70994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926,6333,18399,39608,71551,118329,195865,277267,402285,585843,807355,1056894,1260485,1456018,1641791,1832244,2046997,2210286,2355621,2521995,2565216,2645086,2630145,2585265,2619408,2569118,2581410,2609250,2587722,2709497,2849782,2996080,2864220,2790243,2750117,2775086,2850307,2956304,2962648,2982035,2973724,3010808,2930726,2890718,2896104,2811678,2734144,2679329,2560977,2514242,2394485,2295894,2222798,2177859,2221784,1962041,1567417,1537405,1529140,1441161,1233728,1131352,1025190,973668,867851,779755,710618,622590,537827,493434,425639,385059,305639,258394,209274,164703,130493,102194,75945,55658,38943,26411,16916,10821,6736,4102,5413
2017,19612.1,19375.175,8474.425,0.764526275259214,0.765612219302737,0.783813364375826,0.697024800488124,2.33,3316.184,1587.12,1161.897,297.048,83.823,22.768,34.574,128.954,3981.634,1200.31,2518.773,939.204,1030.389,549.18,262.551,4007584,4048355,4063110,4017745,4051290,4065992,4146733,4245921,4410592,4478672,4437245,4348719,4342629,4340294,4302112,4324518,4378196,4299817,4284839,4181744,4141253,4109033,4050387,3957604,3847435,3675557,3531582,3234561,2952312,2693800,2475044,2296457,2102010,1970574,1921143,1823459,1770038,1662504,1553535,1501400,1414738,1378947,1364266,1330937,1380879,1441897,1514516,1451938,1424349,1416395,1446576,1508520,1583927,1593956,1600406,1590695,1602501,1552878,1527009,1521082,1469725,1422474,1389661,1325975,1299554,1238001,1188947,1160235,1149295,1189172,1071844,877723,883789,905785,881504,782902,748528,708698,710504,671669,645461,633444,601595,563679,565490,531744,536437,485806,462954,423576,371962,329153,284990,233414,188040,147982,109774,78335,55927,38685,73141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5448,7211,18216,37872,71080,114574,194836,275111,395785,570262,790091,1021328,1271473,1467964,1653844,1829205,2019507,2230757,2361706,2468548,2599812,2625888,2706505,2678026,2634338,2666342,2607732,2615052,2635504,2612890,2727596,2863985,2998575,2856247,2777681,2734717,2756853,2833086,2941070,2957127,2979860,2972746,3001359,2923541,2883677,2885542,2799832,2717883,2661782,2541232,2490203,2367946,2259580,2184450,2136471,2175921,1919697,1528628,1497555,1486867,1394001,1185611,1080767,969369,914784,806617,720076,652073,564499,482418,438361,373322,324481,255773,212268,170113,131605,102500,77978,57612,40620,28017,18394,11521,7212,4377,5711
2018,20656.525,20436.325,8899.8,0.783173067401206,0.784134533258741,0.799026631099165,0.722288368765435,2.91,3329.907,1683.538,1170.701,204.733,94.986,22.983,41.299,111.667,4108.981,1261.517,2522.489,982.015,1037.564,502.91,324.975,3918443,4020635,4067219,4084818,4041405,4074830,4089490,4172311,4259825,4426965,4491281,4449527,4364695,4358057,4352816,4320418,4334284,4384189,4283303,4255277,4121295,4082395,4013144,3911961,3784871,3666124,3498045,3349377,3052929,2778393,2518518,2304681,2155652,1999655,1903119,1869830,1769997,1726552,1619239,1515258,1471500,1391775,1360047,1351050,1322657,1374614,1444625,1517636,1451580,1421919,1408077,1436082,1486912,1553879,1565744,1579522,1576798,1589268,1545156,1520299,1516134,1466507,1422005,1391014,1325362,1300722,1239670,1189426,1158539,1147428,1185868,1063829,867306,873464,898027,871511,776382,740139,701930,703321,660903,633397,618909,583942,543858,540509,510870,505973,449769,420805,377842,324397,281873,237113,190926,149675,114734,83151,57949,40423,75265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4854,6386,16643,37353,70187,117194,195984,277237,394286,560296,769260,999474,1228543,1480325,1672245,1852333,2026547,2213769,2395214,2485289,2556137,2668804,2690901,2765825,2729217,2683464,2704846,2637746,2640193,2654415,2625908,2735664,2863553,2993796,2854741,2776702,2737810,2759494,2843263,2958093,2970452,2982932,2969616,2990107,2907694,2868094,2864059,2776126,2688094,2630685,2510716,2455251,2332181,2218569,2146119,2096834,2130232,1881976,1492409,1453840,1435170,1340769,1131806,1025486,911450,852077,745781,660497,591620,506457,426706,382974,313718,269786,210178,171758,135061,102978,77405,58787,41320,28821,19602,12495,7625,4662,6026
2019,21539.975,21286.15,9325.15,0.797374020466402,0.799032859237931,0.811720635599169,0.749356487527784,2.144166667,3463.364,1717.857,1243.113,230.245,98.914,16.672,70.784,85.779,4446.952,1338,2733.794,1038.489,1126.519,568.786,375.158,3853680,3928669,4036505,4085815,4105574,4063544,4096575,4109905,4195157,4271368,4440106,4500102,4457721,4375582,4363616,4364067,4324771,4328950,4370884,4244747,4184841,4054414,3983235,3869972,3735536,3601289,3479505,3311036,3155170,2873464,2606807,2361977,2182609,2069719,1947828,1862340,1819933,1724901,1688830,1585570,1502005,1469019,1394042,1369468,1355907,1326987,1374084,1439602,1506023,1444649,1412697,1401227,1425122,1479359,1549818,1568490,1587174,1590135,1598920,1551437,1527132,1519300,1472010,1426021,1392418,1333892,1307624,1249763,1195182,1167895,1155201,1191642,1071566,873098,876902,896588,871508,771947,738914,697761,697980,653433,622986,603796,564513,517200,517820,481252,467599,409017,374864,329464,277679,234611,194245,151434,115844,86854,61458,41848,77848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3902,5042,15598,36540,71180,117096,196956,274826,388869,548762,749329,965672,1199616,1429794,1685191,1861745,2036057,2192667,2347246,2492438,2546229,2605302,2724978,2736608,2809198,2760983,2698229,2707168,2633941,2628699,2647122,2618490,2730769,2864220,2997591,2854089,2777048,2734131,2757408,2834391,2944126,2947961,2952740,2934582,2951403,2873365,2834667,2830132,2739051,2648982,2594647,2466427,2410570,2283407,2167978,2092459,2043061,2070600,1823636,1435756,1391984,1372428,1272793,1071579,959166,847519,784268,678663,596268,529056,447998,376163,324061,262237,223103,170301,137245,106282,78638,58853,42184,30003,20433,13378,8309,4953,6415
2020,21354.125,21320.225,9465.65,0.807334727307235,0.810685455081213,0.819843816825852,0.770529759840771,0.894166667,3421.164,1608.663,1309.955,211.845,86.78,17.624,68.551,117.746,6553.62,1627.883,4580.267,1089.889,1301.605,2188.773,345.47,3804000,3858093,3940308,4050721,4101724,4122947,4082041,4113363,4125478,4213479,4277725,4448236,4504207,4460998,4377666,4367288,4360214,4313466,4306837,4340741,4174892,4115872,3957514,3842470,3693240,3547047,3403882,3280491,3106340,2956791,2691174,2445855,2228128,2088013,1997339,1870596,1775899,1738143,1652021,1627768,1542083,1476446,1446987,1374012,1344496,1331143,1296681,1345561,1412860,1486900,1429238,1402741,1394243,1419702,1471432,1541536,1558431,1576596,1572578,1581524,1537152,1518514,1513951,1468348,1416370,1392092,1326741,1301983,1244382,1187902,1159745,1150273,1186081,1067942,868151,867695,887691,860373,763847,726538,686213,681838,633298,597707,575325,529693,492078,484827,442423,423869,363188,326674,281311,231008,192045,153578,117354,87696,64066,44294,80449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3784,4773,15258,35150,67023,114557,188820,267621,374690,533671,729236,943546,1168947,1404768,1641417,1887169,2047286,2202706,2329775,2446926,2569869,2626708,2694798,2808047,2805419,2871431,2798503,2721688,2725618,2649310,2648675,2666719,2643099,2751201,2883930,3006147,2859139,2775251,2727751,2746996,2822993,2931291,2935160,2937702,2927207,2936471,2856223,2812941,2800781,2707327,2619886,2556820,2435055,2375106,2246799,2127078,2052593,1997908,2017846,1772138,1386245,1339481,1313807,1212719,1012008,900997,787928,724250,621619,544445,477797,403503,323323,275355,220793,183901,138806,109642,83099,60881,43063,31422,21267,13968,8992,5453,6883
2021,23681.175,23004.125,10315.575,0.845135664652796,0.834987538360965,0.845378129926504,0.839044918251365,1.4425,4047.111,2044.377,1314.088,371.831,75.274,27.14,79.985,134.416,6822.461,1636.409,4833.714,1128.827,1297.11,2407.777,352.338,3656119,3806520,3864318,3951309,4063972,4116528,4139282,4098732,4128894,4140471,4231590,4284349,4457339,4510241,4462355,4384806,4363981,4349982,4294489,4274211,4279418,4107130,4014117,3819697,3675900,3515719,3372209,3231745,3100956,2937100,2794310,2537716,2315330,2133375,2006221,1908212,1782088,1698269,1671935,1604193,1595608,1526396,1457593,1425177,1350701,1322136,1305967,1281398,1332808,1404885,1478237,1422519,1393421,1382643,1405779,1450996,1520872,1536526,1550157,1553295,1563686,1529841,1511510,1506204,1455663,1407023,1377220,1313001,1291858,1230318,1174355,1148553,1139655,1174036,1061561,859505,860224,879481,851870,752989,713223,667423,657753,604460,569396,541217,505492,460472,443495,397611,371389,311475,273378,228941,184151,147481,115337,85857,62379,44385,80103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4335,5503,15978,35740,66423,111899,193257,262741,375315,521189,711516,918747,1133337,1357025,1601835,1829874,2062618,2213451,2348282,2437053,2543470,2674287,2728994,2785717,2885574,2858908,2913912,2817101,2746884,2752079,2676127,2673573,2693741,2658884,2760564,2888027,3006145,2856646,2773822,2726614,2745357,2823075,2928514,2930764,2934166,2916328,2915452,2824614,2781373,2764764,2675002,2580647,2523774,2399756,2333162,2207613,2080828,2003218,1944776,1956048,1707908,1327245,1271079,1238761,1133597,939705,828444,720658,657012,558889,481286,417879,334980,264839,223402,175117,144243,106128,81848,60936,42436,30527,21150,13790,8845,5537,6955
2022,26006.9,25517.575,11123.15,0.912676288912527,0.899163188304682,0.905235385038062,0.883647012470397,2.951666667,4897.399,2632.146,1483.527,424.865,87.728,32.55,99.908,136.675,6273.259,1664.55,4132.822,1212.487,1441.911,1478.424,475.887,3734992,3665025,3817742,3875759,3962317,4075266,4130204,4153439,4113271,4143695,4155515,4246674,4299718,4472867,4526299,4483342,4394613,4368795,4352449,4294545,4256107,4260043,3984994,3832689,3659431,3477303,3266208,3153209,3048967,2969009,2811944,2696519,2543835,2402544,2166745,2139717,2060740,1973156,1804413,1829844,1717795,1664688,1573322,1476174,1475003,1337178,1377391,1384388,1353648,1385179,1426168,1548701,1447974,1472529,1484079,1472520,1523048,1599673,1568424,1565065,1574460,1599121,1591775,1580138,1546690,1491087,1502924,1448266,1369842,1329874,1292355,1226465,1182173,1194631,1180147,1099020,850624,884521,927948,851956,732347,701823,673280,628384,581180,549274,503861,472592,424376,387970,333545,314842,256821,222049,177436,147261,109441,84200,58150,45326,80277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12981,28019,51172,83366,147979,231835,406342,580746,707783,938002,1198605,1383602,1571693,1765479,1986914,2190098,2239082,2292084,2434324,2439617,2552005,2567615,2706462,2751627,2767398,2862419,2787410,2741938,2712396,2696725,2623379,2617247,2584127,2700794,2854986,2919848,2815164,2677085,2605576,2655767,2726692,2821167,2866424,2882951,2854800,2834871,2714658,2660764,2668228,2581507,2426490,2391426,2280195,2229106,2078030,1959289,1896247,1811131,1862071,1584508,1261328,1166164,1101767,1041813,873948,752950,628563,596181,493695,412541,365223,280396,217142,193601,158016,119881,88442,65512,52044,28024,24795,16283,13545,4791,11446
2023,27720.725,27330.05,11725.25,0.950354027056796,0.948001177451912,0.954136822755,0.922800134358223,3.9575,4440.947,2176.481,1614.456,419.584,75.802,33.668,80.338,40.618,6134.672,1718.132,3758.273,1347.961,1563.263,847.049,658.267,3781008,3756510,3689220,3842307,3899921,3986784,4102201,4157735,4181450,4141624,4172399,4184380,4276119,4329820,4504202,4559127,4504944,4412133,4394993,4363231,4269364,4225892,4184618,3868033,3679203,3485098,3319803,3102902,3017552,2904726,2839620,2707810,2607891,2495477,2365920,2172021,2137074,2074022,1958804,1791869,1833257,1746993,1680725,1549659,1473376,1460928,1341429,1376852,1392862,1354680,1397439,1428828,1544921,1455137,1481350,1490245,1476518,1507432,1589532,1558238,1570584,1579113,1598435,1588351,1587766,1543556,1495081,1507559,1452472,1367813,1322710,1290768,1217585,1187081,1193764,1183806,1113361,838223,860368,920209,833017,715383,680774,644160,606242,551223,515503,461780,432807,375747,338307,283809,269502,214897,179180,138570,113018,82759,60163,42791,83089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13007,31072,40161,79586,150491,222844,356017,576476,791613,942811,1160176,1428761,1587737,1784865,1964440,2158184,2347587,2355208,2395702,2494468,2507082,2601528,2640801,2773271,2799092,2782898,2888724,2848500,2777010,2754053,2717088,2644228,2623792,2593379,2694149,2852844,2921815,2804758,2663151,2591560,2642964,2729641,2813424,2854648,2851048,2819157,2800015,2678916,2609900,2623891,2529263,2371174,2333266,2226393,2176609,2017611,1903775,1822446,1737250,1773863,1486899,1201137,1111572,1022808,970806,806163,688770,572915,529464,436597,359520,319846,235480,185266,162177,131743,90756,65191,48780,39106,18963,15932,12033,7607,10040
2024,29166.165,28823.025,12416.17,0.978136374999357,0.978138602239937,0.980751898405565,0.961705628998269,4.188038,4918.104,2426.067,1708.926,529.867,101.435,31.616,77.037,43.156,6750.485,1809.797,4059.569,1454.424,1623.868,981.277,881.119,3724562,3807486,3786024,3719048,3871978,3929306,4016558,4134400,4190388,4214556,4175037,4206235,4218697,4311679,4366781,4543105,4583262,4534978,4443441,4419687,4324138,4256285,4166990,4093697,3726241,3536310,3312535,3187378,2969128,2914656,2811080,2760105,2645085,2579835,2495002,2362744,2174432,2158400,2094288,1962877,1808105,1828818,1761424,1687254,1561450,1472546,1477485,1363965,1390134,1423012,1350070,1407163,1430451,1544361,1444863,1467451,1493302,1477528,1509342,1579900,1560865,1575537,1566490,1592765,1584375,1577139,1534750,1495082,1502406,1448794,1371534,1328907,1298828,1206863,1164350,1185546,1163483,1095809,831438,849110,891749,795770,692160,652007,621897,570392,523762,471727,416933,391754,329959,288496,234202,228574,174072,145271,107274,83459,59438,46584,84555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17081,27126,46350,65665,170314,218664,340199,510512,786870,1007596,1191954,1373051,1644897,1774481,1962427,2128051,2302155,2457923,2436125,2477578,2568453,2560388,2652599,2703357,2818766,2861429,2819251,2929447,2877969,2813437,2767832,2721683,2653940,2611382,2611287,2693343,2855454,2924087,2815122,2674498,2582734,2635077,2716697,2806613,2831096,2820522,2801412,2770820,2644611,2579643,2588779,2484482,2329151,2286193,2170022,2113873,1950184,1851877,1777489,1671741,1710943,1423233,1137497,1046242,966023,918884,744965,632117,509975,475704,376794,317086,278758,194735,154486,136066,111829,65393,49576,32390,27150,14096,11944,4549,10633
